station,category,location_x,location_y,year,crime_count
Belfast,Shoplifting,30.04588,-25.70144,2005,10
Belfast,Murder,30.04588,-25.70144,2005,9
Belfast,Illegal possession of firearms and ammunition,30.04588,-25.70144,2005,0
Belfast,Bank robbery,30.04588,-25.70144,2005,0
Belfast,Drug-related crime,30.04588,-25.70144,2005,10
Belfast,Attempted murder,30.04588,-25.70144,2005,11
Belfast,Robbery at residential premises,30.04588,-25.70144,2005,0
Belfast,Robbery at non-residential premises,30.04588,-25.70144,2005,1
Belfast,Driving under the influence of alcohol or drugs,30.04588,-25.70144,2005,12
Belfast,Robbery with aggravating circumstances,30.04588,-25.70144,2005,17
Bethal,Robbery at non-residential premises,29.46955,-26.46098,2005,0
Bethal,Stock-theft,29.46955,-26.46098,2005,62
Bethal,Common assault,29.46955,-26.46098,2005,110
Bethal,Robbery with aggravating circumstances,29.46955,-26.46098,2005,18
Bethal,All theft not mentioned elsewhere,29.46955,-26.46098,2005,307
Bethal,Truck hijacking,29.46955,-26.46098,2005,1
Bethal,Murder,29.46955,-26.46098,2005,5
Bethal,Assault with the intent to inflict grievous bodily harm,29.46955,-26.46098,2005,46
Bethal,Theft of motor vehicle and motorcycle,29.46955,-26.46098,2005,61
Bethal,Driving under the influence of alcohol or drugs,29.46955,-26.46098,2005,10
Bethal,Burglary at non-residential premises,29.46955,-26.46098,2005,61
Bethal,Common robbery,29.46955,-26.46098,2005,18
Bethal,Illegal possession of firearms and ammunition,29.46955,-26.46098,2005,4
Bethal,Drug-related crime,29.46955,-26.46098,2005,16
Bethal,Carjacking,29.46955,-26.46098,2005,1
Bethal,Sexual offences as result of police action,29.46955,-26.46098,2005,0
Bethal,Robbery of cash in transit,29.46955,-26.46098,2005,0
Bethal,Bank robbery,29.46955,-26.46098,2005,0
Bethal,Malicious damage to property,29.46955,-26.46098,2005,62
Bethal,Burglary at residential premises,29.46955,-26.46098,2005,81
Bethal,Theft out of or from motor vehicle,29.46955,-26.46098,2005,55
